pygame 2.3.0 (SDL 2.24.2, Python 3.10.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Number of generations: 23
Real time spent: 4.15018s
CPU time spent: 4.15012s
Number of fitness evaluations: 2191
Best fitness: 6.532679501993809
         2576315 function calls (2478219 primitive calls) in 8.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      949    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        6    0.000    0.000    0.024    0.004 patches.py:2230(<listcomp>)
        1    0.000    0.000    0.024    0.024 distance.py:1(<module>)
     1862    0.011    0.000    0.023    0.000 posixpath.py:71(join)
       23    0.000    0.000    0.023    0.001 GA.py:81(select_individuals)
        1    0.000    0.000    0.023    0.023 _secondary_axes.py:1(<module>)
    18006    0.023    0.000    0.023    0.000 {built-in method numpy.asarray}
       23    0.000    0.000    0.023    0.001 SurvivorSelection.py:63(__call__)
        1    0.000    0.000    0.023    0.023 _multivariate.py:1(<module>)
       23    0.000    0.000    0.023    0.001 SurvivorSelection.py:84(select)
     9341    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
        7    0.000    0.000    0.023    0.003 enum.py:536(_convert_)
       23    0.000    0.000    0.023    0.001 SurvivorSelection.py:127(elitism)
     3488    0.008    0.000    0.023    0.000 abc.py:117(__instancecheck__)
    15666    0.023    0.000    0.023    0.000 {method 'expandtabs' of 'str' objects}
      111    0.001    0.000    0.023    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.023    0.023 _morestats.py:1(<module>)
     2191    0.006    0.000    0.022    0.000 fromnumeric.py:198(reshape)
     1851    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2654    0.013    0.000    0.022    0.000 __init__.py:411(_strip_comment)
        1    0.000    0.000    0.022    0.022 ir_utils.py:1(<module>)
     2661    0.006    0.000    0.022    0.000 castgraph.py:65(__getitem__)
        1    0.000    0.000    0.022    0.022 instructions.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _codata.py:1(<module>)
       78    0.001    0.000    0.022    0.000 _docscrape.py:195(_read_to_next_section)
      674    0.003    0.000    0.021    0.000 <__array_function__ internals>:177(all)
      412    0.002    0.000    0.021    0.000 colors.py:218(is_color_like)
        1    0.021    0.021    0.021    0.021 instructions.py:201(Ret)
     1091    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.021    0.021 _resampling.py:1(<module>)
        8    0.000    0.000    0.021    0.003 version.py:1(<module>)
     5648    0.014    0.000    0.020    0.000 <frozen importlib._bootstrap>:897(__exit__)
     5648    0.014    0.000    0.020    0.000 <frozen importlib._bootstrap>:893(__enter__)
       78    0.001    0.000    0.020    0.000 _docscrape.py:206(_read_sections)
      145    0.009    0.000    0.020    0.000 __init__.py:328(namedtuple)
      337    0.002    0.000    0.020    0.000 shape_base.py:285(hstack)
      278    0.005    0.000    0.020    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.020    0.020 cm.py:33(_gen_cmap_registry)
    11323    0.019    0.000    0.019    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.019    0.019 py3k.py:1(<module>)
        1    0.000    0.000    0.019    0.019 npydecl.py:1(<module>)
        4    0.000    0.000    0.019    0.005 __init__.py:51(create_module)
        4    0.000    0.000    0.019    0.005 __init__.py:29(load_module)
      163    0.005    0.000    0.019    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.019    0.019 socket.py:1(<module>)
     4796    0.013    0.000    0.019    0.000 _methods.py:102(_clip_dep_is_byte_swapped)
    15048    0.019    0.000    0.019    0.000 Individual.py:41(genotype)
      241    0.001    0.000    0.019    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        1    0.000    0.000    0.019    0.019 legend.py:1(<module>)
